clinician_id,clinician_name,specialty,region,home_timezone,employment_status,record_effective_from,record_effective_to,is_current_record
CL-1001,"Okonkwo, Tobias",Family Medicine,MIDWEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1002,"Vasquez, Ingrid",Internal Medicine,NORTHEAST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1003,"Lindqvist, Mira",Cardiology,SOUTH,America/Chicago,ACTIVE,2025-01-01,,true
CL-1004,"Adeyemi, Bram",Orthopedics,WEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1005,"Moreau, Marcus",Pediatrics,MIDWEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1006,"Tanaka, Camille",Endocrinology,NORTHEAST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1007,"Bergstrom, Rowan",Neurology,SOUTH,America/Chicago,ACTIVE,2025-01-01,,true
CL-1008,"Halvorsen, Viktor",Urgent Care,WEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1009,"Sorrentino, Greta",Family Medicine,MIDWEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1010,"Marchetti, Nadia",Internal Medicine,NORTHEAST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1011,"Duplantis, Kofi",Cardiology,SOUTH,America/Chicago,ACTIVE,2025-01-01,,true
CL-1012,"Rasmussen, Emeka",Orthopedics,WEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1013,"Achebe, Alma",Pediatrics,MIDWEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1014,"Nkemdirim, Lena",Endocrinology,NORTHEAST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1015,"Boateng, Samir",Neurology,SOUTH,America/Chicago,ACTIVE,2025-01-01,,true
CL-1016,"Kowalski, Declan",Urgent Care,WEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1017,"Fontaine, Sunita",Family Medicine,MIDWEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1018,"Espinoza, Priya",Internal Medicine,NORTHEAST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1019,"Zieliński, Diego",Cardiology,SOUTH,America/Chicago,ACTIVE,2025-01-01,,true
CL-1020,"Hargreaves, Yusuf",Orthopedics,WEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1021,"Mbeki, Talia",Pediatrics,MIDWEST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1022,"Castellanos, Ana",Endocrinology,NORTHEAST,America/Chicago,ACTIVE,2025-01-01,,true
CL-1023,"Novak, Owen",Neurology,SOUTH,America/Chicago,ACTIVE,2025-01-01,,true
CL-1024,"Ferreira, Elise",Urgent Care,WEST,America/Chicago,ACTIVE,2025-01-01,,true
