mds_id,mds_name,pod,tier,hire_date,status
MD-201,"Achebe, Noor",ALPHA,T1,2023-10-14,INACTIVE
MD-202,"Nkemdirim, Ravi",BRAVO,T2,2024-01-04,ACTIVE
MD-203,"Boateng, Hiroshi",CHARLIE,T3,2023-02-22,ACTIVE
MD-204,"Kowalski, Beatriz",DELTA,T1,2024-02-22,ACTIVE
MD-205,"Fontaine, Saskia",ALPHA,T2,2024-09-23,ACTIVE
MD-206,"Domingo, Rafael",BRAVO,T3,2023-10-25,ACTIVE
MD-207,"Zieliński, Tobias",CHARLIE,T1,2024-05-23,ACTIVE
MD-208,"Hargreaves, Ingrid",DELTA,T2,2024-01-10,ACTIVE
MD-209,"Mbeki, Mira",ALPHA,T3,2024-04-18,ACTIVE
MD-210,"Castellanos, Bram",BRAVO,T1,2023-03-15,ACTIVE
MD-211,"Novak, Marcus",CHARLIE,T2,2023-12-01,ACTIVE
MD-212,"Ferreira, Camille",DELTA,T3,2023-08-09,ACTIVE
MD-213,"Sandoval, Rowan",ALPHA,T1,2024-03-07,ACTIVE
MD-214,"Whitfield, Viktor",BRAVO,T2,2024-08-26,ACTIVE
MD-215,"Aramaki, Greta",CHARLIE,T3,2023-11-19,ACTIVE
MD-216,"Delacroix, Nadia",DELTA,T1,2025-06-17,ACTIVE
MD-217,"Ivanova, Kofi",ALPHA,T2,2023-11-12,ACTIVE
MD-218,"Petronella, Emeka",BRAVO,T3,2024-03-04,INACTIVE
MD-219,"Okonkwo, Alma",CHARLIE,T1,2024-12-12,ACTIVE
MD-220,"Vasquez, Lena",DELTA,T2,2025-02-23,ACTIVE
MD-221,"Lindqvist, Samir",ALPHA,T3,2025-06-16,ACTIVE
MD-222,"Adeyemi, Declan",BRAVO,T1,2023-12-05,ACTIVE
MD-223,"Moreau, Sunita",CHARLIE,T2,2023-03-10,ACTIVE
MD-224,"Tanaka, Priya",DELTA,T3,2023-02-15,ACTIVE
MD-225,"Bergstrom, Diego",ALPHA,T1,2024-11-18,ACTIVE
MD-226,"Halvorsen, Yusuf",BRAVO,T2,2024-07-22,ACTIVE
MD-227,"Domingo, Rafael",CHARLIE,T3,2024-10-22,ACTIVE
MD-228,"Marchetti, Ana",DELTA,T1,2023-02-11,ACTIVE
MD-229,"Duplantis, Owen",ALPHA,T2,2024-01-23,ACTIVE
MD-230,"Rasmussen, Elise",BRAVO,T3,2023-07-06,ACTIVE
MD-231,"Achebe, Viktor",CHARLIE,T1,2024-04-26,ACTIVE
MD-232,"Nkemdirim, Greta",DELTA,T2,2023-02-03,ACTIVE
MD-233,"Boateng, Nadia",ALPHA,T3,2024-07-03,ACTIVE
MD-234,"Kowalski, Kofi",BRAVO,T1,2024-07-29,ACTIVE
